yolov3-voc-snowman
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.000025 seconds
Region 94 Avg IOU: 0.033359, Class: 0.218845, Obj: 0.315563, No Obj: 0.513748, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468647, .5R: -nan, .75R: -nan,  count: 0
1: 1645.304199, 1645.304199 avg, 0.000000 rate, 10.042507 seconds, 64 images
Loaded: 0.000027 seconds
Region 82 Avg IOU: 0.248372, Class: 0.477271, Obj: 0.277772, No Obj: 0.469865, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514802, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470218, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.327143, Class: 0.400078, Obj: 0.658626, No Obj: 0.468724, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513441, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470581, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.269015, Class: 0.603041, Obj: 0.608340, No Obj: 0.468373, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514597, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468660, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.395766, Class: 0.536876, Obj: 0.798397, No Obj: 0.469684, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.113869, Class: 0.743931, Obj: 0.130412, No Obj: 0.513876, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468459, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.341830, Class: 0.595781, Obj: 0.373779, No Obj: 0.468861, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514073, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468131, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.210467, Class: 0.618432, Obj: 0.167338, No Obj: 0.470343, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514016, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468218, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.346910, Class: 0.545222, Obj: 0.465696, No Obj: 0.467487, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513441, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468308, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.134440, Class: 0.601331, Obj: 0.366815, No Obj: 0.468043, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513764, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469212, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.338342, Class: 0.598098, Obj: 0.681778, No Obj: 0.469719, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513937, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470525, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.249616, Class: 0.464390, Obj: 0.616445, No Obj: 0.469766, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513562, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470457, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.265254, Class: 0.422802, Obj: 0.673948, No Obj: 0.468670, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514206, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468416, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.066802, Class: 0.771982, Obj: 0.343050, No Obj: 0.468771, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513098, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470539, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.181809, Class: 0.438469, Obj: 0.647879, No Obj: 0.469559, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.346138, Class: 0.655621, Obj: 0.531011, No Obj: 0.514153, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469865, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.218099, Class: 0.594927, Obj: 0.502116, No Obj: 0.468799, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512988, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469448, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.347673, Class: 0.717770, Obj: 0.515916, No Obj: 0.467975, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513403, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469360, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.218170, Class: 0.618921, Obj: 0.696166, No Obj: 0.468511, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514434, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468702, .5R: -nan, .75R: -nan,  count: 0
2: 1642.311890, 1645.005005 avg, 0.000000 rate, 9.831839 seconds, 128 images
Loaded: 0.000027 seconds
Region 82 Avg IOU: 0.158389, Class: 0.485021, Obj: 0.484079, No Obj: 0.469878, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512975, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470785, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.415509, Class: 0.477527, Obj: 0.774066, No Obj: 0.467109, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512814, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468003, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.183488, Class: 0.486587, Obj: 0.513035, No Obj: 0.469782, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513749, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471430, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.307220, Class: 0.510770, Obj: 0.548787, No Obj: 0.468612, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.015009, Class: 0.581964, Obj: 0.435106, No Obj: 0.514528, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470898, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.242734, Class: 0.608689, Obj: 0.327720, No Obj: 0.468384, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514307, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470310, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.294151, Class: 0.544126, Obj: 0.470034, No Obj: 0.469402, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514115, .5R: -nan, .75R: -nan,  count: 0
